,street_no,street,city,suburb,postcode
0,100,PINE HILL ROAD,DUNEDIN,DALMORE,9010
1,112,PINE HILL ROAD,DUNEDIN,DALMORE,9010
2,116,PINE HILL ROAD,DUNEDIN,DALMORE,9010
3,120,PINE HILL ROAD,DUNEDIN,DALMORE,9010
4,128,PINE HILL ROAD,DUNEDIN,DALMORE,9010
5,132,PINE HILL ROAD,DUNEDIN,DALMORE,9010
6,136,PINE HILL ROAD,DUNEDIN,DALMORE,9010
7,140,PINE HILL ROAD,DUNEDIN,DALMORE,9010
8,144,PINE HILL ROAD,DUNEDIN,DALMORE,9010
9,145,PINE HILL ROAD,DUNEDIN,DALMORE,9010
10,146,PINE HILL ROAD,DUNEDIN,DALMORE,9010
11,148,PINE HILL ROAD,DUNEDIN,DALMORE,9010
12,150,PINE HILL ROAD,DUNEDIN,DALMORE,9010
13,152,PINE HILL ROAD,DUNEDIN,DALMORE,9010
14,156,PINE HILL ROAD,DUNEDIN,DALMORE,9010
15,158,PINE HILL ROAD,DUNEDIN,DALMORE,9010
16,159,PINE HILL ROAD,DUNEDIN,DALMORE,9010
17,161,PINE HILL ROAD,DUNEDIN,DALMORE,9010
18,164,PINE HILL ROAD,DUNEDIN,DALMORE,9010
19,168,PINE HILL ROAD,DUNEDIN,DALMORE,9010
20,170,PINE HILL ROAD,DUNEDIN,DALMORE,9010
21,172,PINE HILL ROAD,DUNEDIN,DALMORE,9010
22,174,PINE HILL ROAD,DUNEDIN,DALMORE,9010
23,176,PINE HILL ROAD,DUNEDIN,DALMORE,9010
24,180,PINE HILL ROAD,DUNEDIN,DALMORE,9010
25,182,PINE HILL ROAD,DUNEDIN,DALMORE,9010
26,186,PINE HILL ROAD,DUNEDIN,DALMORE,9010
27,188,PINE HILL ROAD,DUNEDIN,DALMORE,9010
28,190,PINE HILL ROAD,DUNEDIN,DALMORE,9010
29,192,PINE HILL ROAD,DUNEDIN,DALMORE,9010
30,194,PINE HILL ROAD,DUNEDIN,DALMORE,9010
31,206,PINE HILL ROAD,DUNEDIN,DALMORE,9010
32,208,PINE HILL ROAD,DUNEDIN,DALMORE,9010
33,210,PINE HILL ROAD,DUNEDIN,DALMORE,9010
34,211,PINE HILL ROAD,DUNEDIN,DALMORE,9010
35,215,PINE HILL ROAD,DUNEDIN,DALMORE,9010
36,217,PINE HILL ROAD,DUNEDIN,DALMORE,9010
37,219,PINE HILL ROAD,DUNEDIN,DALMORE,9010
38,220,PINE HILL ROAD,DUNEDIN,DALMORE,9010
39,221,PINE HILL ROAD,DUNEDIN,DALMORE,9010
40,222,PINE HILL ROAD,DUNEDIN,DALMORE,9010
41,223,PINE HILL ROAD,DUNEDIN,DALMORE,9010
42,225,PINE HILL ROAD,DUNEDIN,DALMORE,9010
43,227,PINE HILL ROAD,DUNEDIN,DALMORE,9010
44,229,PINE HILL ROAD,DUNEDIN,DALMORE,9010
45,236,PINE HILL ROAD,DUNEDIN,DALMORE,9010
46,237,PINE HILL ROAD,DUNEDIN,DALMORE,9010
47,238,PINE HILL ROAD,DUNEDIN,DALMORE,9010
48,239,PINE HILL ROAD,DUNEDIN,DALMORE,9010
49,241,PINE HILL ROAD,DUNEDIN,DALMORE,9010
50,242,PINE HILL ROAD,DUNEDIN,DALMORE,9010
51,244,PINE HILL ROAD,DUNEDIN,DALMORE,9010
52,245,PINE HILL ROAD,DUNEDIN,DALMORE,9010
53,249,PINE HILL ROAD,DUNEDIN,DALMORE,9010
54,251,PINE HILL ROAD,DUNEDIN,DALMORE,9010
55,255,PINE HILL ROAD,DUNEDIN,DALMORE,9010
56,258,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
57,262,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
58,263,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
59,265,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
60,270,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
61,271,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
62,272,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
63,273,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
64,274,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
65,275,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
66,276,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
67,277,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
68,279,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
69,280,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
70,281,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
71,282,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
72,283,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
73,285,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
